!!!SBtab Document='eQuilibrator thermodynamic data' SBtabVersion='1.0' Date='2019-12-12',,,,,,,,
!!SBtab TableID='ReactionGFE' TableType='Quantity' TableName='Reaction table of transformed energies' SBtabVersion='1.0' Date='2019-12-12' Unit='kJ/mol' IonicStrengthUnit='M' TemperatureUnit='K',,,,,,,,
!QuantityType,!Identifiers:kegg.reaction,!Unit,!Mean,!Std,!pH,!IonicStrength,!Temperature,!Comment
standard Gibbs energy of formation,R02515,kJ/mol,-441.3,7,7,0.1,298.15,
standard Gibbs energy of formation,R02516,kJ/mol,-442.3,7,7,0.1,298.15,
standard Gibbs energy of formation,R02517,kJ/mol,-442.3,7,7,0.1,298.15,
standard Gibbs energy of formation,R02518,kJ/mol,-454.5,8.5,7,0.1,298.15,
standard Gibbs energy of formation,R02519,kJ/mol,-257.2,10.3,7,0.1,298.15,
standard Gibbs energy of formation,R02520,kJ/mol,-389.4,8.5,7,0.1,298.15,
standard Gibbs energy of formation,R02521,kJ/mol,-546.7,13.3,7,0.1,298.15,
standard Gibbs energy of formation,R02522,kJ/mol,-47.2,5.3,7,0.1,298.15,
standard Gibbs energy of formation,R02526,kJ/mol,-21.2,4.4,7,0.1,298.15,
standard Gibbs energy of formation,R02527,kJ/mol,18,3.6,7,0.1,298.15,
standard Gibbs energy of formation,R02528,kJ/mol,-21.4,3.6,7,0.1,298.15,
standard Gibbs energy of formation,R02529,kJ/mol,-96.8,9.5,7,0.1,298.15,
standard Gibbs energy of formation,R02530,kJ/mol,23.5,5.8,7,0.1,298.15,
standard Gibbs energy of formation,R02531,kJ/mol,18,3.6,7,0.1,298.15,
standard Gibbs energy of formation,R02532,kJ/mol,-94.5,9,7,0.1,298.15,
standard Gibbs energy of formation,R02533,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02534,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02535,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02536,kJ/mol,-35.4,5.9,7,0.1,298.15,
standard Gibbs energy of formation,R02537,kJ/mol,-34.4,5.9,7,0.1,298.15,
standard Gibbs energy of formation,R02539,kJ/mol,-11.1,16.9,7,0.1,298.15,
standard Gibbs energy of formation,R02540,kJ/mol,-10.7,6.8,7,0.1,298.15,
standard Gibbs energy of formation,R02541,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02542,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02543,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02544,kJ/mol,27.7,4.1,7,0.1,298.15,
standard Gibbs energy of formation,R02545,kJ/mol,40.2,5.8,7,0.1,298.15,
standard Gibbs energy of formation,R02546,kJ/mol,-11,4.6,7,0.1,298.15,
standard Gibbs energy of formation,R02547,kJ/mol,14.2,7.1,7,0.1,298.15,
standard Gibbs energy of formation,R02548,kJ/mol,7.3,3.1,7,0.1,298.15,
standard Gibbs energy of formation,R02549,kJ/mol,-47.6,4.3,7,0.1,298.15,
standard Gibbs energy of formation,R02550,kJ/mol,370.3,9.8,7,0.1,298.15,
standard Gibbs energy of formation,R02551,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02552,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02553,kJ/mol,6.3,3,7,0.1,298.15,
standard Gibbs energy of formation,R02554,kJ/mol,-365.7,9.9,7,0.1,298.15,
standard Gibbs energy of formation,R02555,kJ/mol,14.5,3.8,7,0.1,298.15,
standard Gibbs energy of formation,R02556,kJ/mol,-20.5,6.6,7,0.1,298.15,
standard Gibbs energy of formation,R02557,kJ/mol,11.3,6.7,7,0.1,298.15,
standard Gibbs energy of formation,R02558,kJ/mol,-10.8,3.5,7,0.1,298.15,
standard Gibbs energy of formation,R02559,kJ/mol,246.9,6,7,0.1,298.15,
standard Gibbs energy of formation,R02560,kJ/mol,229.9,8.4,7,0.1,298.15,
standard Gibbs energy of formation,R02561,kJ/mol,-452.4,9.4,7,0.1,298.15,
standard Gibbs energy of formation,R02562,kJ/mol,-453.4,9.4,7,0.1,298.15,
standard Gibbs energy of formation,R02563,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02564,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02565,kJ/mol,-35.8,2.2,7,0.1,298.15,
standard Gibbs energy of formation,R02566,kJ/mol,-34.8,2.2,7,0.1,298.15,
standard Gibbs energy of formation,R02568,kJ/mol,28.9,2.3,7,0.1,298.15,
standard Gibbs energy of formation,R02569,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02570,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02571,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02572,kJ/mol,1.8,10.3,7,0.1,298.15,
standard Gibbs energy of formation,R02573,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02574,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02575,kJ/mol,-6.5,5.8,7,0.1,298.15,
standard Gibbs energy of formation,R02576,kJ/mol,-19.3,15.9,7,0.1,298.15,
standard Gibbs energy of formation,R02577,kJ/mol,26.2,3.6,7,0.1,298.15,
standard Gibbs energy of formation,R02580,kJ/mol,20.6,1.9,7,0.1,298.15,
standard Gibbs energy of formation,R02581,kJ/mol,7.3,3.1,7,0.1,298.15,
standard Gibbs energy of formation,R02583,kJ/mol,-30.9,6.4,7,0.1,298.15,
standard Gibbs energy of formation,R02584,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02585,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02586,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02587,kJ/mol,-14.2,2.4,7,0.1,298.15,
standard Gibbs energy of formation,R02588,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02589,kJ/mol,-441.3,7,7,0.1,298.15,
standard Gibbs energy of formation,R02590,kJ/mol,-219.7,16.3,7,0.1,298.15,
standard Gibbs energy of formation,R02591,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02592,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02593,kJ/mol,11.6,3.3,7,0.1,298.15,
standard Gibbs energy of formation,R02594,kJ/mol,-69.9,10.8,7,0.1,298.15,
standard Gibbs energy of formation,R02595,kJ/mol,45,10.5,7,0.1,298.15,
standard Gibbs energy of formation,R02596,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02597,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02598,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02599,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02600,kJ/mol,-24.1,2,7,0.1,298.15,
standard Gibbs energy of formation,R02601,kJ/mol,-0.7,2.9,7,0.1,298.15,
standard Gibbs energy of formation,R02602,kJ/mol,-16,6.1,7,0.1,298.15,
standard Gibbs energy of formation,R02603,kJ/mol,52.5,5,7,0.1,298.15,
standard Gibbs energy of formation,R02604,kJ/mol,40.1,3.4,7,0.1,298.15,
standard Gibbs energy of formation,R02605,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02606,kJ/mol,-53,5,7,0.1,298.15,
standard Gibbs energy of formation,R02609,kJ/mol,14.8,15.1,7,0.1,298.15,
standard Gibbs energy of formation,R02610,kJ/mol,14.8,15.1,7,0.1,298.15,
standard Gibbs energy of formation,R02611,kJ/mol,23.1,2,7,0.1,298.15,
standard Gibbs energy of formation,R02612,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02613,kJ/mol,-94.5,9,7,0.1,298.15,
standard Gibbs energy of formation,R02615,kJ/mol,-17.8,6,7,0.1,298.15,
standard Gibbs energy of formation,R02616,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02617,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02618,kJ/mol,29.3,3.6,7,0.1,298.15,
standard Gibbs energy of formation,R02619,kJ/mol,-8.7,3.6,7,0.1,298.15,
standard Gibbs energy of formation,R02620,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02621,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02622,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02623,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02624,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02625,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02626,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02627,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02628,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02630,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02631,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02632,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02633,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02634,kJ/mol,3.5,4.5,7,0.1,298.15,
standard Gibbs energy of formation,R02636,kJ/mol,-9,7.1,7,0.1,298.15,
standard Gibbs energy of formation,R02637,kJ/mol,20.7,1.9,7,0.1,298.15,
standard Gibbs energy of formation,R02639,kJ/mol,21.6,2,7,0.1,298.15,
standard Gibbs energy of formation,R02640,kJ/mol,20.6,1.9,7,0.1,298.15,
standard Gibbs energy of formation,R02642,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02643,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02644,kJ/mol,0,0,7,0.1,298.15,
standard Gibbs energy of formation,R02646,kJ/mol,-26,10.8,7,0.1,298.15,
standard Gibbs energy of formation,R02648,kJ/mol,-37.8,30.1,7,0.1,298.15,
standard Gibbs energy of formation,R02649,kJ/mol,30.3,6.8,7,0.1,298.15,
standard Gibbs energy of formation,R02650,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02651,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02652,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02654,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02655,kJ/mol,-36.9,2.2,7,0.1,298.15,
standard Gibbs energy of formation,R02656,kJ/mol,-257.2,10.3,7,0.1,298.15,
standard Gibbs energy of formation,R02657,kJ/mol,170.4,8.5,7,0.1,298.15,
standard Gibbs energy of formation,R02658,kJ/mol,-7.6,6.9,7,0.1,298.15,
standard Gibbs energy of formation,R02659,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02661,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02662,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02663,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02664,kJ/mol,-22.1,4.6,7,0.1,298.15,
standard Gibbs energy of formation,R02665,kJ/mol,-246.3,11.8,7,0.1,298.15,
standard Gibbs energy of formation,R02666,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02667,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02668,kJ/mol,-54.2,4.2,7,0.1,298.15,
standard Gibbs energy of formation,R02669,kJ/mol,-11,6.5,7,0.1,298.15,
standard Gibbs energy of formation,R02670,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02671,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02672,kJ/mol,-13.3,6.1,7,0.1,298.15,
standard Gibbs energy of formation,R02673,kJ/mol,-126.8,10.2,7,0.1,298.15,
standard Gibbs energy of formation,R02675,kJ/mol,119.6,23.3,7,0.1,298.15,
standard Gibbs energy of formation,R02676,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02677,kJ/mol,-29.6,7.7,7,0.1,298.15,
standard Gibbs energy of formation,R02678,kJ/mol,-37,2.2,7,0.1,298.15,
standard Gibbs energy of formation,R02679,kJ/mol,23.1,2,7,0.1,298.15,
standard Gibbs energy of formation,R02680,kJ/mol,24.1,2,7,0.1,298.15,
standard Gibbs energy of formation,R02681,kJ/mol,-170.4,8.5,7,0.1,298.15,
standard Gibbs energy of formation,R02682,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02683,kJ/mol,20.6,1.9,7,0.1,298.15,
standard Gibbs energy of formation,R02684,kJ/mol,7.3,3.1,7,0.1,298.15,
standard Gibbs energy of formation,R02685,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02687,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02688,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02689,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02691,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02692,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02693,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02694,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02695,kJ/mol,-37,2.2,7,0.1,298.15,
standard Gibbs energy of formation,R02697,kJ/mol,-36,2.2,7,0.1,298.15,
standard Gibbs energy of formation,R02698,kJ/mol,-441.3,7,7,0.1,298.15,
standard Gibbs energy of formation,R02699,kJ/mol,-9.5,15.3,7,0.1,298.15,
standard Gibbs energy of formation,R02700,kJ/mol,-7.5,3.6,7,0.1,298.15,
standard Gibbs energy of formation,R02701,kJ/mol,-21.1,6.1,7,0.1,298.15,
standard Gibbs energy of formation,R02702,kJ/mol,-327.9,12.7,7,0.1,298.15,
standard Gibbs energy of formation,R02703,kJ/mol,11.3,2.4,7,0.1,298.15,
standard Gibbs energy of formation,R02704,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02705,kJ/mol,-12.9,6,7,0.1,298.15,
standard Gibbs energy of formation,R02706,kJ/mol,13.4,6,7,0.1,298.15,
standard Gibbs energy of formation,R02707,kJ/mol,23.3,11,7,0.1,298.15,
standard Gibbs energy of formation,R02708,kJ/mol,-398.4,6.1,7,0.1,298.15,
standard Gibbs energy of formation,R02709,kJ/mol,-14.1,4.3,7,0.1,298.15,
standard Gibbs energy of formation,R02711,kJ/mol,-22,4.5,7,0.1,298.15,
standard Gibbs energy of formation,R02712,kJ/mol,-12.4,4.4,7,0.1,298.15,
standard Gibbs energy of formation,R02713,kJ/mol,-272.9,4.2,7,0.1,298.15,
standard Gibbs energy of formation,R02714,kJ/mol,-21.2,4.4,7,0.1,298.15,
standard Gibbs energy of formation,R02715,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02716,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02717,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02718,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02719,kJ/mol,-12.1,7,7,0.1,298.15,
standard Gibbs energy of formation,R02720,kJ/mol,-39.7,4.9,7,0.1,298.15,
standard Gibbs energy of formation,R02721,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02722,kJ/mol,-30.5,6.2,7,0.1,298.15,
standard Gibbs energy of formation,R02723,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02724,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02725,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02726,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02727,kJ/mol,4.9,2.4,7,0.1,298.15,
standard Gibbs energy of formation,R02728,kJ/mol,-7.4,1.5,7,0.1,298.15,
standard Gibbs energy of formation,R02729,kJ/mol,-4.7,4.1,7,0.1,298.15,
standard Gibbs energy of formation,R02730,kJ/mol,-9.5,2.4,7,0.1,298.15,
standard Gibbs energy of formation,R02731,kJ/mol,-31.9,5.9,7,0.1,298.15,
standard Gibbs energy of formation,R02732,kJ/mol,5.5,5.9,7,0.1,298.15,
standard Gibbs energy of formation,R02733,kJ/mol,-7.4,6.5,7,0.1,298.15,
standard Gibbs energy of formation,R02734,kJ/mol,8,7.3,7,0.1,298.15,
standard Gibbs energy of formation,R02735,kJ/mol,-1.7,5.8,7,0.1,298.15,
standard Gibbs energy of formation,R02736,kJ/mol,-2.3,2.6,7,0.1,298.15,
standard Gibbs energy of formation,R02737,kJ/mol,-15.2,3.7,7,0.1,298.15,
standard Gibbs energy of formation,R02738,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02739,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02740,kJ/mol,2.5,0.8,7,0.1,298.15,
standard Gibbs energy of formation,R02741,kJ/mol,-22.3,10.9,7,0.1,298.15,
standard Gibbs energy of formation,R02742,kJ/mol,17.7,4,7,0.1,298.15,
standard Gibbs energy of formation,R02743,kJ/mol,-14.7,9.9,7,0.1,298.15,
standard Gibbs energy of formation,R02744,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02745,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02746,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02747,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02748,kJ/mol,9.8,3.3,7,0.1,298.15,
standard Gibbs energy of formation,R02749,kJ/mol,-28.9,6.7,7,0.1,298.15,
standard Gibbs energy of formation,R02750,kJ/mol,33.3,4.7,7,0.1,298.15,
standard Gibbs energy of formation,R02751,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02752,kJ/mol,-41.9,2.4,7,0.1,298.15,
standard Gibbs energy of formation,R02754,kJ/mol,21.8,5.5,7,0.1,298.15,
standard Gibbs energy of formation,R02755,kJ/mol,32.2,5.9,7,0.1,298.15,
standard Gibbs energy of formation,R02756,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02757,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02758,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02760,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02762,kJ/mol,-38.2,2.2,7,0.1,298.15,
standard Gibbs energy of formation,R02763,kJ/mol,14.7,6.5,7,0.1,298.15,
standard Gibbs energy of formation,R02764,kJ/mol,-29.4,8.9,7,0.1,298.15,
standard Gibbs energy of formation,R02765,kJ/mol,0,5.8,7,0.1,298.15,
standard Gibbs energy of formation,R02766,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02767,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02768,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02769,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02770,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02772,kJ/mol,9.4,12.6,7,0.1,298.15,
standard Gibbs energy of formation,R02773,kJ/mol,-1.4,5.8,7,0.1,298.15,
standard Gibbs energy of formation,R02776,kJ/mol,7.3,3.1,7,0.1,298.15,
standard Gibbs energy of formation,R02777,kJ/mol,7.3,3.1,7,0.1,298.15,
standard Gibbs energy of formation,R02778,kJ/mol,-7.2,4.4,7,0.1,298.15,
standard Gibbs energy of formation,R02780,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02781,kJ/mol,11.5,6.4,7,0.1,298.15,
standard Gibbs energy of formation,R02782,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02783,kJ/mol,-26.8,6.2,7,0.1,298.15,
standard Gibbs energy of formation,R02786,kJ/mol,-23.1,6.3,7,0.1,298.15,
standard Gibbs energy of formation,R02788,kJ/mol,-24.1,6.3,7,0.1,298.15,
standard Gibbs energy of formation,R02789,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02790,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02791,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02792,kJ/mol,6.3,3,7,0.1,298.15,
standard Gibbs energy of formation,R02793,kJ/mol,7.3,3.1,7,0.1,298.15,
standard Gibbs energy of formation,R02794,kJ/mol,-9.4,15.3,7,0.1,298.15,
standard Gibbs energy of formation,R02797,kJ/mol,116.5,4.8,7,0.1,298.15,
standard Gibbs energy of formation,R02798,kJ/mol,-30.9,6.4,7,0.1,298.15,
standard Gibbs energy of formation,R02799,kJ/mol,7.3,3.1,7,0.1,298.15,
standard Gibbs energy of formation,R02800,kJ/mol,21.6,2,7,0.1,298.15,
standard Gibbs energy of formation,R02801,kJ/mol,-30.9,6.4,7,0.1,298.15,
standard Gibbs energy of formation,R02802,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02804,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02805,kJ/mol,-40.5,13.9,7,0.1,298.15,
standard Gibbs energy of formation,R02806,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02807,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02808,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02809,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02810,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02811,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02813,kJ/mol,0.7,2.9,7,0.1,298.15,
standard Gibbs energy of formation,R02814,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02815,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02816,kJ/mol,-218.9,6.8,7,0.1,298.15,
standard Gibbs energy of formation,R02817,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02818,kJ/mol,173.4,6.7,7,0.1,298.15,
standard Gibbs energy of formation,R02819,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02820,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02821,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02822,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02823,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02824,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02825,kJ/mol,41.2,16,7,0.1,298.15,
standard Gibbs energy of formation,R02826,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02827,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02828,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02829,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02830,kJ/mol,-441.3,7,7,0.1,298.15,
standard Gibbs energy of formation,R02831,kJ/mol,-11,6.5,7,0.1,298.15,
standard Gibbs energy of formation,R02832,kJ/mol,7.3,3.1,7,0.1,298.15,
standard Gibbs energy of formation,R02834,kJ/mol,6.3,3,7,0.1,298.15,
standard Gibbs energy of formation,R02836,kJ/mol,7.3,3.1,7,0.1,298.15,
standard Gibbs energy of formation,R02837,kJ/mol,-2.2,4.1,7,0.1,298.15,
standard Gibbs energy of formation,R02838,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02839,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02840,kJ/mol,-6.3,3,7,0.1,298.15,
standard Gibbs energy of formation,R02841,kJ/mol,14.8,15.1,7,0.1,298.15,
standard Gibbs energy of formation,R02843,kJ/mol,-384.7,8.6,7,0.1,298.15,
standard Gibbs energy of formation,R02846,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02847,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02851,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02852,kJ/mol,-0.3,7.1,7,0.1,298.15,
standard Gibbs energy of formation,R02853,kJ/mol,-15.3,5.7,7,0.1,298.15,
standard Gibbs energy of formation,R02854,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02855,kJ/mol,23.1,4.2,7,0.1,298.15,
standard Gibbs energy of formation,R02856,kJ/mol,24.1,4.3,7,0.1,298.15,
standard Gibbs energy of formation,R02857,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02858,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02859,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02860,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02861,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R02862,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
